"Your input","Epoch timestamp","Converted epoch (double-check your input!)"
2013-01-28T01:39:58+01:00,1359333598,Mon, 28 Jan 2013 00:39:58 +0000
2013-01-28T01:39:59+01:00,1359333599,Mon, 28 Jan 2013 00:39:59 +0000
2013-01-28T01:40:00+01:00,1359333600,Mon, 28 Jan 2013 00:40:00 +0000
2013-01-28T01:40:01+01:00,1359333601,Mon, 28 Jan 2013 00:40:01 +0000
2013-01-28T01:40:02+01:00,1359333602,Mon, 28 Jan 2013 00:40:02 +0000
2013-01-28T01:40:03+01:00,1359333603,Mon, 28 Jan 2013 00:40:03 +0000
2013-01-28T01:40:04+01:00,1359333604,Mon, 28 Jan 2013 00:40:04 +0000
2013-01-28T01:40:05+01:00,1359333605,Mon, 28 Jan 2013 00:40:05 +0000
2013-01-28T01:40:06+01:00,1359333606,Mon, 28 Jan 2013 00:40:06 +0000
2013-01-28T01:40:07+01:00,1359333607,Mon, 28 Jan 2013 00:40:07 +0000
2013-01-28T01:40:08+01:00,1359333608,Mon, 28 Jan 2013 00:40:08 +0000
2013-01-28T01:40:09+01:00,1359333609,Mon, 28 Jan 2013 00:40:09 +0000
2013-01-28T01:40:10+01:00,1359333610,Mon, 28 Jan 2013 00:40:10 +0000
2013-01-28T01:40:11+01:00,1359333611,Mon, 28 Jan 2013 00:40:11 +0000
2013-01-28T01:40:12+01:00,1359333612,Mon, 28 Jan 2013 00:40:12 +0000
2013-01-28T01:40:13+01:00,1359333613,Mon, 28 Jan 2013 00:40:13 +0000
2013-01-28T01:40:14+01:00,1359333614,Mon, 28 Jan 2013 00:40:14 +0000
2013-01-28T01:40:15+01:00,1359333615,Mon, 28 Jan 2013 00:40:15 +0000
2013-01-28T01:40:16+01:00,1359333616,Mon, 28 Jan 2013 00:40:16 +0000
2013-01-28T01:40:17+01:00,1359333617,Mon, 28 Jan 2013 00:40:17 +0000
2013-01-28T01:40:18+01:00,1359333618,Mon, 28 Jan 2013 00:40:18 +0000
2013-01-28T01:40:19+01:00,1359333619,Mon, 28 Jan 2013 00:40:19 +0000
2013-01-28T01:40:20+01:00,1359333620,Mon, 28 Jan 2013 00:40:20 +0000
2013-01-28T01:40:21+01:00,1359333621,Mon, 28 Jan 2013 00:40:21 +0000
2013-01-28T01:40:22+01:00,1359333622,Mon, 28 Jan 2013 00:40:22 +0000
2013-01-28T01:40:23+01:00,1359333623,Mon, 28 Jan 2013 00:40:23 +0000
2013-01-28T01:40:24+01:00,1359333624,Mon, 28 Jan 2013 00:40:24 +0000
2013-01-28T01:40:25+01:00,1359333625,Mon, 28 Jan 2013 00:40:25 +0000
2013-01-28T01:40:26+01:00,1359333626,Mon, 28 Jan 2013 00:40:26 +0000
2013-01-28T01:40:27+01:00,1359333627,Mon, 28 Jan 2013 00:40:27 +0000
2013-01-28T01:40:28+01:00,1359333628,Mon, 28 Jan 2013 00:40:28 +0000
2013-01-28T01:40:29+01:00,1359333629,Mon, 28 Jan 2013 00:40:29 +0000
2013-01-28T01:40:30+01:00,1359333630,Mon, 28 Jan 2013 00:40:30 +0000
2013-01-28T01:40:31+01:00,1359333631,Mon, 28 Jan 2013 00:40:31 +0000
2013-01-28T01:40:32+01:00,1359333632,Mon, 28 Jan 2013 00:40:32 +0000
2013-01-28T01:40:33+01:00,1359333633,Mon, 28 Jan 2013 00:40:33 +0000
2013-01-28T01:40:34+01:00,1359333634,Mon, 28 Jan 2013 00:40:34 +0000
2013-01-28T01:40:35+01:00,1359333635,Mon, 28 Jan 2013 00:40:35 +0000
2013-01-28T01:40:36+01:00,1359333636,Mon, 28 Jan 2013 00:40:36 +0000
2013-01-28T01:40:37+01:00,1359333637,Mon, 28 Jan 2013 00:40:37 +0000
2013-01-28T01:40:38+01:00,1359333638,Mon, 28 Jan 2013 00:40:38 +0000
2013-01-28T01:40:39+01:00,1359333639,Mon, 28 Jan 2013 00:40:39 +0000
2013-01-28T01:40:40+01:00,1359333640,Mon, 28 Jan 2013 00:40:40 +0000
2013-01-28T01:40:41+01:00,1359333641,Mon, 28 Jan 2013 00:40:41 +0000
2013-01-28T01:40:42+01:00,1359333642,Mon, 28 Jan 2013 00:40:42 +0000
2013-01-28T01:40:43+01:00,1359333643,Mon, 28 Jan 2013 00:40:43 +0000
2013-01-28T01:40:44+01:00,1359333644,Mon, 28 Jan 2013 00:40:44 +0000
2013-01-28T01:40:45+01:00,1359333645,Mon, 28 Jan 2013 00:40:45 +0000
2013-01-28T01:40:46+01:00,1359333646,Mon, 28 Jan 2013 00:40:46 +0000
2013-01-28T01:40:47+01:00,1359333647,Mon, 28 Jan 2013 00:40:47 +0000
2013-01-28T01:40:48+01:00,1359333648,Mon, 28 Jan 2013 00:40:48 +0000
2013-01-28T01:40:49+01:00,1359333649,Mon, 28 Jan 2013 00:40:49 +0000
2013-01-28T01:40:50+01:00,1359333650,Mon, 28 Jan 2013 00:40:50 +0000
2013-01-28T01:40:51+01:00,1359333651,Mon, 28 Jan 2013 00:40:51 +0000
2013-01-28T01:40:52+01:00,1359333652,Mon, 28 Jan 2013 00:40:52 +0000
2013-01-28T01:40:53+01:00,1359333653,Mon, 28 Jan 2013 00:40:53 +0000
2013-01-28T01:40:54+01:00,1359333654,Mon, 28 Jan 2013 00:40:54 +0000
2013-01-28T01:40:55+01:00,1359333655,Mon, 28 Jan 2013 00:40:55 +0000
2013-01-28T01:40:56+01:00,1359333656,Mon, 28 Jan 2013 00:40:56 +0000
2013-01-28T01:40:57+01:00,1359333657,Mon, 28 Jan 2013 00:40:57 +0000
2013-01-28T01:40:58+01:00,1359333658,Mon, 28 Jan 2013 00:40:58 +0000
2013-01-28T01:40:59+01:00,1359333659,Mon, 28 Jan 2013 00:40:59 +0000
2013-01-28T01:41:00+01:00,1359333660,Mon, 28 Jan 2013 00:41:00 +0000
2013-01-28T01:41:01+01:00,1359333661,Mon, 28 Jan 2013 00:41:01 +0000
2013-01-28T01:41:02+01:00,1359333662,Mon, 28 Jan 2013 00:41:02 +0000
2013-01-28T01:41:03+01:00,1359333663,Mon, 28 Jan 2013 00:41:03 +0000
2013-01-28T01:41:04+01:00,1359333664,Mon, 28 Jan 2013 00:41:04 +0000
2013-01-28T01:41:05+01:00,1359333665,Mon, 28 Jan 2013 00:41:05 +0000
2013-01-28T01:41:06+01:00,1359333666,Mon, 28 Jan 2013 00:41:06 +0000
2013-01-28T01:41:07+01:00,1359333667,Mon, 28 Jan 2013 00:41:07 +0000
2013-01-28T01:41:08+01:00,1359333668,Mon, 28 Jan 2013 00:41:08 +0000
2013-01-28T01:41:09+01:00,1359333669,Mon, 28 Jan 2013 00:41:09 +0000
2013-01-28T01:41:10+01:00,1359333670,Mon, 28 Jan 2013 00:41:10 +0000
2013-01-28T01:41:11+01:00,1359333671,Mon, 28 Jan 2013 00:41:11 +0000
2013-01-28T01:41:12+01:00,1359333672,Mon, 28 Jan 2013 00:41:12 +0000
2013-01-28T01:41:13+01:00,1359333673,Mon, 28 Jan 2013 00:41:13 +0000
2013-01-28T01:41:14+01:00,1359333674,Mon, 28 Jan 2013 00:41:14 +0000
2013-01-28T01:41:15+01:00,1359333675,Mon, 28 Jan 2013 00:41:15 +0000
2013-01-28T01:41:16+01:00,1359333676,Mon, 28 Jan 2013 00:41:16 +0000
2013-01-28T01:41:17+01:00,1359333677,Mon, 28 Jan 2013 00:41:17 +0000
2013-01-28T01:41:18+01:00,1359333678,Mon, 28 Jan 2013 00:41:18 +0000
2013-01-28T01:41:19+01:00,1359333679,Mon, 28 Jan 2013 00:41:19 +0000
2013-01-28T01:41:20+01:00,1359333680,Mon, 28 Jan 2013 00:41:20 +0000
2013-01-28T01:41:21+01:00,1359333681,Mon, 28 Jan 2013 00:41:21 +0000
2013-01-28T01:41:22+01:00,1359333682,Mon, 28 Jan 2013 00:41:22 +0000
2013-01-28T01:41:23+01:00,1359333683,Mon, 28 Jan 2013 00:41:23 +0000
2013-01-28T01:41:24+01:00,1359333684,Mon, 28 Jan 2013 00:41:24 +0000
2013-01-28T01:41:25+01:00,1359333685,Mon, 28 Jan 2013 00:41:25 +0000
2013-01-28T01:41:26+01:00,1359333686,Mon, 28 Jan 2013 00:41:26 +0000
2013-01-28T01:41:27+01:00,1359333687,Mon, 28 Jan 2013 00:41:27 +0000
2013-01-28T01:41:28+01:00,1359333688,Mon, 28 Jan 2013 00:41:28 +0000
2013-01-28T01:41:29+01:00,1359333689,Mon, 28 Jan 2013 00:41:29 +0000
2013-01-28T01:41:30+01:00,1359333690,Mon, 28 Jan 2013 00:41:30 +0000
2013-01-28T01:41:31+01:00,1359333691,Mon, 28 Jan 2013 00:41:31 +0000
2013-01-28T01:41:32+01:00,1359333692,Mon, 28 Jan 2013 00:41:32 +0000
2013-01-28T01:41:33+01:00,1359333693,Mon, 28 Jan 2013 00:41:33 +0000
2013-01-28T01:41:34+01:00,1359333694,Mon, 28 Jan 2013 00:41:34 +0000
